Aston Villa,Arsenal
Bournemouth,Southampton
Brighton,Newcastle
Liverpool,Chelsea
Man United,West Ham
Norwich,Burnley
Sheffield United,Everton
Tottenham,Leicester
Watford,Man City
Wolves,Crystal Palace
Arsenal,Watford
Burnley,Brighton
Chelsea,Wolves
Crystal Palace,Tottenham
Everton,Bournemouth
Leicester,Man United
Man City,Norwich
Newcastle,Liverpool
Southampton,Sheffield United
West Ham,Aston Villa
Aston Villa,Sheffield United
Man City,Arsenal
Aston Villa,Chelsea
Bournemouth,Crystal Palace
Brighton,Arsenal
Everton,Liverpool
Man City,Burnley
Newcastle,Sheffield United
Norwich,Southampton
Tottenham,Man United
Watford,Leicester
West Ham,Wolves
Burnley,Watford
Chelsea,Man City
Leicester,Brighton
Liverpool,Crystal Palace
Man United,Sheffield United
Newcastle,Aston Villa
Norwich,Everton
Southampton,Arsenal
Tottenham,West Ham
Wolves,Bournemouth
Arsenal,Norwich
Aston Villa,Wolves
Bournemouth,Newcastle
Brighton,Man United
Crystal Palace,Burnley
Everton,Leicester
Man City,Liverpool
Sheffield United,Tottenham
Watford,Southampton
West Ham,Chelsea
Burnley,Sheffield United
Chelsea,Watford
Leicester,Crystal Palace
Liverpool,Aston Villa
Man United,Bournemouth
Newcastle,West Ham
Norwich,Brighton
Southampton,Man City
Tottenham,Everton
Wolves,Arsenal
Arsenal,Leicester
Aston Villa,Man United
Bournemouth,Tottenham
Brighton,Liverpool
Crystal Palace,Chelsea
Everton,Southampton
Man City,Newcastle
Sheffield United,Wolves
Watford,Norwich
West Ham,Burnley
Aston Villa,Crystal Palace
Bournemouth,Leicester
Brighton,Man City
Liverpool,Burnley
Man United,Southampton
Norwich,West Ham
Sheffield United,Chelsea
Tottenham,Arsenal
Watford,Newcastle
Wolves,Everton
